threshold,resolution,iou,identifier,uniprot_id
0,0.1,1.0,2xki,O76242
0,0.2,1.0,2xki,O76242
0,0.3,1.0,2xki,O76242
0,0.4,1.0,2xki,O76242
0,0.5,1.0,2xki,O76242
0,0.6,1.0,2xki,O76242
0,0.7,1.0,2xki,O76242
0,0.8,0.573,2xki,O76242
0,0.9,0.336,2xki,O76242
0,1.0,0.3,2xki,O76242
0,1.1,0.3,2xki,O76242
0,1.2,0.264,2xki,O76242
0,1.3,0.264,2xki,O76242
0,1.4,0.2,2xki,O76242
0,1.5,0.191,2xki,O76242
1,0.1,1.0,2xki,O76242
1,0.2,1.0,2xki,O76242
1,0.3,1.0,2xki,O76242
1,0.4,1.0,2xki,O76242
1,0.5,1.0,2xki,O76242
1,0.6,1.0,2xki,O76242
1,0.7,1.0,2xki,O76242
1,0.8,1.0,2xki,O76242
1,0.9,0.573,2xki,O76242
1,1.0,0.3,2xki,O76242
1,1.1,0.3,2xki,O76242
1,1.2,0.327,2xki,O76242
1,1.3,0.2,2xki,O76242
1,1.4,0.209,2xki,O76242
1,1.5,0.182,2xki,O76242
2,0.1,1.0,2xki,O76242
2,0.2,1.0,2xki,O76242
2,0.3,1.0,2xki,O76242
2,0.4,1.0,2xki,O76242
2,0.5,1.0,2xki,O76242
2,0.6,1.0,2xki,O76242
2,0.7,1.0,2xki,O76242
2,0.8,1.0,2xki,O76242
2,0.9,0.573,2xki,O76242
2,1.0,0.3,2xki,O76242
2,1.1,0.273,2xki,O76242
2,1.2,0.209,2xki,O76242
2,1.3,0.209,2xki,O76242
2,1.4,0.164,2xki,O76242
2,1.5,0.155,2xki,O76242
3,0.1,1.0,2xki,O76242
3,0.2,1.0,2xki,O76242
3,0.3,1.0,2xki,O76242
3,0.4,1.0,2xki,O76242
3,0.5,1.0,2xki,O76242
3,0.6,1.0,2xki,O76242
3,0.7,1.0,2xki,O76242
3,0.8,1.0,2xki,O76242
3,0.9,1.0,2xki,O76242
3,1.0,0.336,2xki,O76242
3,1.1,0.273,2xki,O76242
3,1.2,0.173,2xki,O76242
3,1.3,0.155,2xki,O76242
3,1.4,0.127,2xki,O76242
3,1.5,0.118,2xki,O76242
4,0.1,1.0,2xki,O76242
4,0.2,1.0,2xki,O76242
4,0.3,1.0,2xki,O76242
4,0.4,1.0,2xki,O76242
4,0.5,1.0,2xki,O76242
4,0.6,1.0,2xki,O76242
4,0.7,1.0,2xki,O76242
4,0.8,1.0,2xki,O76242
4,0.9,1.0,2xki,O76242
4,1.0,0.345,2xki,O76242
4,1.1,0.191,2xki,O76242
4,1.2,0.127,2xki,O76242
4,1.3,0.091,2xki,O76242
4,1.4,1.0,2xki,O76242
4,1.5,1.0,2xki,O76242
5,0.1,1.0,2xki,O76242
5,0.2,1.0,2xki,O76242
5,0.3,1.0,2xki,O76242
5,0.4,1.0,2xki,O76242
5,0.5,1.0,2xki,O76242
5,0.6,1.0,2xki,O76242
5,0.7,1.0,2xki,O76242
5,0.8,1.0,2xki,O76242
5,0.9,1.0,2xki,O76242
5,1.0,0.464,2xki,O76242
5,1.1,0.127,2xki,O76242
5,1.2,1.0,2xki,O76242
5,1.3,1.0,2xki,O76242
5,1.4,1.0,2xki,O76242
5,1.5,1.0,2xki,O76242
6,0.1,1.0,2xki,O76242
6,0.2,1.0,2xki,O76242
6,0.3,1.0,2xki,O76242
6,0.4,1.0,2xki,O76242
6,0.5,1.0,2xki,O76242
6,0.6,1.0,2xki,O76242
6,0.7,1.0,2xki,O76242
6,0.8,1.0,2xki,O76242
6,0.9,1.0,2xki,O76242
6,1.0,0.591,2xki,O76242
6,1.1,1.0,2xki,O76242
6,1.2,1.0,2xki,O76242
6,1.3,1.0,2xki,O76242
6,1.4,1.0,2xki,O76242
6,1.5,1.0,2xki,O76242
7,0.1,1.0,2xki,O76242
7,0.2,1.0,2xki,O76242
7,0.3,1.0,2xki,O76242
7,0.4,1.0,2xki,O76242
7,0.5,1.0,2xki,O76242
7,0.6,1.0,2xki,O76242
7,0.7,1.0,2xki,O76242
7,0.8,1.0,2xki,O76242
7,0.9,1.0,2xki,O76242
7,1.0,0.936,2xki,O76242
7,1.1,1.0,2xki,O76242
7,1.2,1.0,2xki,O76242
7,1.3,1.0,2xki,O76242
7,1.4,1.0,2xki,O76242
7,1.5,1.0,2xki,O76242
8,0.1,1.0,2xki,O76242
8,0.2,1.0,2xki,O76242
8,0.3,1.0,2xki,O76242
8,0.4,1.0,2xki,O76242
8,0.5,1.0,2xki,O76242
8,0.6,1.0,2xki,O76242
8,0.7,1.0,2xki,O76242
8,0.8,1.0,2xki,O76242
8,0.9,1.0,2xki,O76242
8,1.0,0.936,2xki,O76242
8,1.1,1.0,2xki,O76242
8,1.2,1.0,2xki,O76242
8,1.3,1.0,2xki,O76242
8,1.4,1.0,2xki,O76242
8,1.5,1.0,2xki,O76242
9,0.1,1.0,2xki,O76242
9,0.2,1.0,2xki,O76242
9,0.3,1.0,2xki,O76242
9,0.4,1.0,2xki,O76242
9,0.5,1.0,2xki,O76242
9,0.6,1.0,2xki,O76242
9,0.7,1.0,2xki,O76242
9,0.8,1.0,2xki,O76242
9,0.9,1.0,2xki,O76242
9,1.0,0.936,2xki,O76242
9,1.1,1.0,2xki,O76242
9,1.2,1.0,2xki,O76242
9,1.3,1.0,2xki,O76242
9,1.4,1.0,2xki,O76242
9,1.5,1.0,2xki,O76242
