threshold,resolution,iou,identifier,uniprot_id
0,0.1,0.984,3qpi,Q3SPU6
0,0.2,0.984,3qpi,Q3SPU6
0,0.3,0.984,3qpi,Q3SPU6
0,0.4,0.984,3qpi,Q3SPU6
0,0.5,0.984,3qpi,Q3SPU6
0,0.6,0.984,3qpi,Q3SPU6
0,0.7,0.984,3qpi,Q3SPU6
0,0.8,0.634,3qpi,Q3SPU6
0,0.9,0.396,3qpi,Q3SPU6
0,1.0,0.401,3qpi,Q3SPU6
0,1.1,0.269,3qpi,Q3SPU6
0,1.2,0.269,3qpi,Q3SPU6
0,1.3,0.214,3qpi,Q3SPU6
0,1.4,0.214,3qpi,Q3SPU6
0,1.5,0.206,3qpi,Q3SPU6
1,0.1,0.984,3qpi,Q3SPU6
1,0.2,0.984,3qpi,Q3SPU6
1,0.3,0.984,3qpi,Q3SPU6
1,0.4,0.984,3qpi,Q3SPU6
1,0.5,0.984,3qpi,Q3SPU6
1,0.6,0.984,3qpi,Q3SPU6
1,0.7,0.994,3qpi,Q3SPU6
1,0.8,0.672,3qpi,Q3SPU6
1,0.9,0.396,3qpi,Q3SPU6
1,1.0,0.401,3qpi,Q3SPU6
1,1.1,0.319,3qpi,Q3SPU6
1,1.2,0.269,3qpi,Q3SPU6
1,1.3,0.264,3qpi,Q3SPU6
1,1.4,0.211,3qpi,Q3SPU6
1,1.5,0.2,3qpi,Q3SPU6
2,0.1,0.984,3qpi,Q3SPU6
2,0.2,0.984,3qpi,Q3SPU6
2,0.3,0.984,3qpi,Q3SPU6
2,0.4,0.984,3qpi,Q3SPU6
2,0.5,0.984,3qpi,Q3SPU6
2,0.6,0.984,3qpi,Q3SPU6
2,0.7,0.984,3qpi,Q3SPU6
2,0.8,0.984,3qpi,Q3SPU6
2,0.9,0.533,3qpi,Q3SPU6
2,1.0,0.319,3qpi,Q3SPU6
2,1.1,0.306,3qpi,Q3SPU6
2,1.2,0.269,3qpi,Q3SPU6
2,1.3,0.319,3qpi,Q3SPU6
2,1.4,0.256,3qpi,Q3SPU6
2,1.5,0.133,3qpi,Q3SPU6
3,0.1,0.984,3qpi,Q3SPU6
3,0.2,0.984,3qpi,Q3SPU6
3,0.3,0.984,3qpi,Q3SPU6
3,0.4,0.984,3qpi,Q3SPU6
3,0.5,0.984,3qpi,Q3SPU6
3,0.6,0.984,3qpi,Q3SPU6
3,0.7,0.984,3qpi,Q3SPU6
3,0.8,0.984,3qpi,Q3SPU6
3,0.9,0.667,3qpi,Q3SPU6
3,1.0,0.333,3qpi,Q3SPU6
3,1.1,0.269,3qpi,Q3SPU6
3,1.2,0.269,3qpi,Q3SPU6
3,1.3,0.269,3qpi,Q3SPU6
3,1.4,0.269,3qpi,Q3SPU6
3,1.5,0.094,3qpi,Q3SPU6
4,0.1,0.984,3qpi,Q3SPU6
4,0.2,0.984,3qpi,Q3SPU6
4,0.3,0.984,3qpi,Q3SPU6
4,0.4,0.984,3qpi,Q3SPU6
4,0.5,0.984,3qpi,Q3SPU6
4,0.6,0.984,3qpi,Q3SPU6
4,0.7,0.984,3qpi,Q3SPU6
4,0.8,0.984,3qpi,Q3SPU6
4,0.9,0.674,3qpi,Q3SPU6
4,1.0,0.354,3qpi,Q3SPU6
4,1.1,0.269,3qpi,Q3SPU6
4,1.2,0.264,3qpi,Q3SPU6
4,1.3,0.264,3qpi,Q3SPU6
4,1.4,0.089,3qpi,Q3SPU6
4,1.5,0.094,3qpi,Q3SPU6
5,0.1,0.984,3qpi,Q3SPU6
5,0.2,0.984,3qpi,Q3SPU6
5,0.3,0.984,3qpi,Q3SPU6
5,0.4,0.984,3qpi,Q3SPU6
5,0.5,0.984,3qpi,Q3SPU6
5,0.6,0.984,3qpi,Q3SPU6
5,0.7,0.984,3qpi,Q3SPU6
5,0.8,0.984,3qpi,Q3SPU6
5,0.9,0.829,3qpi,Q3SPU6
5,1.0,0.669,3qpi,Q3SPU6
5,1.1,0.433,3qpi,Q3SPU6
5,1.2,0.258,3qpi,Q3SPU6
5,1.3,0.258,3qpi,Q3SPU6
5,1.4,0.089,3qpi,Q3SPU6
5,1.5,0.083,3qpi,Q3SPU6
6,0.1,0.984,3qpi,Q3SPU6
6,0.2,0.984,3qpi,Q3SPU6
6,0.3,0.984,3qpi,Q3SPU6
6,0.4,0.984,3qpi,Q3SPU6
6,0.5,0.984,3qpi,Q3SPU6
6,0.6,0.984,3qpi,Q3SPU6
6,0.7,0.984,3qpi,Q3SPU6
6,0.8,0.984,3qpi,Q3SPU6
6,0.9,0.984,3qpi,Q3SPU6
6,1.0,0.674,3qpi,Q3SPU6
6,1.1,0.311,3qpi,Q3SPU6
6,1.2,0.258,3qpi,Q3SPU6
6,1.3,0.083,3qpi,Q3SPU6
6,1.4,0.083,3qpi,Q3SPU6
6,1.5,0.083,3qpi,Q3SPU6
7,0.1,0.984,3qpi,Q3SPU6
7,0.2,0.984,3qpi,Q3SPU6
7,0.3,0.984,3qpi,Q3SPU6
7,0.4,0.984,3qpi,Q3SPU6
7,0.5,0.984,3qpi,Q3SPU6
7,0.6,0.984,3qpi,Q3SPU6
7,0.7,0.984,3qpi,Q3SPU6
7,0.8,0.984,3qpi,Q3SPU6
7,0.9,0.928,3qpi,Q3SPU6
7,1.0,0.68,3qpi,Q3SPU6
7,1.1,0.258,3qpi,Q3SPU6
7,1.2,0.122,3qpi,Q3SPU6
7,1.3,0.094,3qpi,Q3SPU6
7,1.4,0.094,3qpi,Q3SPU6
7,1.5,0.067,3qpi,Q3SPU6
8,0.1,0.984,3qpi,Q3SPU6
8,0.2,0.984,3qpi,Q3SPU6
8,0.3,0.984,3qpi,Q3SPU6
8,0.4,0.984,3qpi,Q3SPU6
8,0.5,0.984,3qpi,Q3SPU6
8,0.6,0.984,3qpi,Q3SPU6
8,0.7,0.984,3qpi,Q3SPU6
8,0.8,0.984,3qpi,Q3SPU6
8,0.9,0.928,3qpi,Q3SPU6
8,1.0,0.68,3qpi,Q3SPU6
8,1.1,0.25,3qpi,Q3SPU6
8,1.2,0.133,3qpi,Q3SPU6
8,1.3,0.072,3qpi,Q3SPU6
8,1.4,0.094,3qpi,Q3SPU6
8,1.5,0.089,3qpi,Q3SPU6
9,0.1,0.984,3qpi,Q3SPU6
9,0.2,0.984,3qpi,Q3SPU6
9,0.3,0.984,3qpi,Q3SPU6
9,0.4,0.984,3qpi,Q3SPU6
9,0.5,0.984,3qpi,Q3SPU6
9,0.6,0.984,3qpi,Q3SPU6
9,0.7,0.984,3qpi,Q3SPU6
9,0.8,0.984,3qpi,Q3SPU6
9,0.9,0.929,3qpi,Q3SPU6
9,1.0,0.68,3qpi,Q3SPU6
9,1.1,0.244,3qpi,Q3SPU6
9,1.2,0.078,3qpi,Q3SPU6
9,1.3,0.067,3qpi,Q3SPU6
9,1.4,0.094,3qpi,Q3SPU6
9,1.5,0.067,3qpi,Q3SPU6
10,0.1,0.984,3qpi,Q3SPU6
10,0.2,0.984,3qpi,Q3SPU6
10,0.3,0.984,3qpi,Q3SPU6
10,0.4,0.984,3qpi,Q3SPU6
10,0.5,0.984,3qpi,Q3SPU6
10,0.6,0.984,3qpi,Q3SPU6
10,0.7,0.984,3qpi,Q3SPU6
10,0.8,0.984,3qpi,Q3SPU6
10,0.9,0.929,3qpi,Q3SPU6
10,1.0,0.691,3qpi,Q3SPU6
10,1.1,0.256,3qpi,Q3SPU6
10,1.2,0.067,3qpi,Q3SPU6
10,1.3,0.067,3qpi,Q3SPU6
10,1.4,0.072,3qpi,Q3SPU6
10,1.5,0.089,3qpi,Q3SPU6
0,0.1,0.892,3ois,Q9PGZ0
0,0.2,0.892,3ois,Q9PGZ0
0,0.3,0.892,3ois,Q9PGZ0
0,0.4,0.892,3ois,Q9PGZ0
0,0.5,0.892,3ois,Q9PGZ0
0,0.6,0.892,3ois,Q9PGZ0
0,0.7,0.892,3ois,Q9PGZ0
0,0.8,0.446,3ois,Q9PGZ0
0,0.9,0.448,3ois,Q9PGZ0
0,1.0,0.367,3ois,Q9PGZ0
0,1.1,0.3,3ois,Q9PGZ0
0,1.2,0.247,3ois,Q9PGZ0
0,1.3,0.221,3ois,Q9PGZ0
0,1.4,0.206,3ois,Q9PGZ0
0,1.5,0.191,3ois,Q9PGZ0
1,0.1,0.892,3ois,Q9PGZ0
1,0.2,0.892,3ois,Q9PGZ0
1,0.3,0.892,3ois,Q9PGZ0
1,0.4,0.892,3ois,Q9PGZ0
1,0.5,0.892,3ois,Q9PGZ0
1,0.6,0.892,3ois,Q9PGZ0
1,0.7,0.892,3ois,Q9PGZ0
1,0.8,0.448,3ois,Q9PGZ0
1,0.9,0.458,3ois,Q9PGZ0
1,1.0,0.461,3ois,Q9PGZ0
1,1.1,0.307,3ois,Q9PGZ0
1,1.2,0.228,3ois,Q9PGZ0
1,1.3,0.243,3ois,Q9PGZ0
1,1.4,0.195,3ois,Q9PGZ0
1,1.5,0.124,3ois,Q9PGZ0
2,0.1,0.886,3ois,Q9PGZ0
2,0.2,0.892,3ois,Q9PGZ0
2,0.3,0.892,3ois,Q9PGZ0
2,0.4,0.892,3ois,Q9PGZ0
2,0.5,0.892,3ois,Q9PGZ0
2,0.6,0.892,3ois,Q9PGZ0
2,0.7,0.892,3ois,Q9PGZ0
2,0.8,0.448,3ois,Q9PGZ0
2,0.9,0.448,3ois,Q9PGZ0
2,1.0,0.461,3ois,Q9PGZ0
2,1.1,0.273,3ois,Q9PGZ0
2,1.2,0.225,3ois,Q9PGZ0
2,1.3,0.187,3ois,Q9PGZ0
2,1.4,0.124,3ois,Q9PGZ0
2,1.5,0.097,3ois,Q9PGZ0
3,0.1,0.889,3ois,Q9PGZ0
3,0.2,0.892,3ois,Q9PGZ0
3,0.3,0.892,3ois,Q9PGZ0
3,0.4,0.892,3ois,Q9PGZ0
3,0.5,0.892,3ois,Q9PGZ0
3,0.6,0.892,3ois,Q9PGZ0
3,0.7,0.892,3ois,Q9PGZ0
3,0.8,0.892,3ois,Q9PGZ0
3,0.9,0.458,3ois,Q9PGZ0
3,1.0,0.455,3ois,Q9PGZ0
3,1.1,0.311,3ois,Q9PGZ0
3,1.2,0.199,3ois,Q9PGZ0
3,1.3,0.202,3ois,Q9PGZ0
3,1.4,0.103,3ois,Q9PGZ0
3,1.5,0.075,3ois,Q9PGZ0
4,0.1,0.889,3ois,Q9PGZ0
4,0.2,0.889,3ois,Q9PGZ0
4,0.3,0.892,3ois,Q9PGZ0
4,0.4,0.892,3ois,Q9PGZ0
4,0.5,0.892,3ois,Q9PGZ0
4,0.6,0.892,3ois,Q9PGZ0
4,0.7,0.892,3ois,Q9PGZ0
4,0.8,0.892,3ois,Q9PGZ0
4,0.9,0.892,3ois,Q9PGZ0
4,1.0,0.458,3ois,Q9PGZ0
4,1.1,0.225,3ois,Q9PGZ0
4,1.2,0.206,3ois,Q9PGZ0
4,1.3,0.094,3ois,Q9PGZ0
4,1.4,0.075,3ois,Q9PGZ0
4,1.5,0.048,3ois,Q9PGZ0
5,0.1,0.889,3ois,Q9PGZ0
5,0.2,0.889,3ois,Q9PGZ0
5,0.3,0.889,3ois,Q9PGZ0
5,0.4,0.889,3ois,Q9PGZ0
5,0.5,0.892,3ois,Q9PGZ0
5,0.6,0.892,3ois,Q9PGZ0
5,0.7,0.892,3ois,Q9PGZ0
5,0.8,0.892,3ois,Q9PGZ0
5,0.9,0.892,3ois,Q9PGZ0
5,1.0,0.476,3ois,Q9PGZ0
5,1.1,0.221,3ois,Q9PGZ0
5,1.2,0.075,3ois,Q9PGZ0
5,1.3,0.048,3ois,Q9PGZ0
5,1.4,0.048,3ois,Q9PGZ0
5,1.5,0.048,3ois,Q9PGZ0
6,0.1,0.889,3ois,Q9PGZ0
6,0.2,0.889,3ois,Q9PGZ0
6,0.3,0.889,3ois,Q9PGZ0
6,0.4,0.889,3ois,Q9PGZ0
6,0.5,0.889,3ois,Q9PGZ0
6,0.6,0.892,3ois,Q9PGZ0
6,0.7,0.892,3ois,Q9PGZ0
6,0.8,0.892,3ois,Q9PGZ0
6,0.9,0.892,3ois,Q9PGZ0
6,1.0,0.427,3ois,Q9PGZ0
6,1.1,0.097,3ois,Q9PGZ0
6,1.2,0.048,3ois,Q9PGZ0
6,1.3,0.033,3ois,Q9PGZ0
6,1.4,0.022,3ois,Q9PGZ0
6,1.5,0.022,3ois,Q9PGZ0
7,0.1,0.855,3ois,Q9PGZ0
7,0.2,0.889,3ois,Q9PGZ0
7,0.3,0.889,3ois,Q9PGZ0
7,0.4,0.889,3ois,Q9PGZ0
7,0.5,0.889,3ois,Q9PGZ0
7,0.6,0.889,3ois,Q9PGZ0
7,0.7,0.892,3ois,Q9PGZ0
7,0.8,0.892,3ois,Q9PGZ0
7,0.9,0.892,3ois,Q9PGZ0
7,1.0,0.472,3ois,Q9PGZ0
7,1.1,0.085,3ois,Q9PGZ0
7,1.2,0.045,3ois,Q9PGZ0
7,1.3,0.029,3ois,Q9PGZ0
7,1.4,0.0,3ois,Q9PGZ0
7,1.5,0.0,3ois,Q9PGZ0
8,0.1,0.855,3ois,Q9PGZ0
8,0.2,0.889,3ois,Q9PGZ0
8,0.3,0.889,3ois,Q9PGZ0
8,0.4,0.889,3ois,Q9PGZ0
8,0.5,0.889,3ois,Q9PGZ0
8,0.6,0.889,3ois,Q9PGZ0
8,0.7,0.889,3ois,Q9PGZ0
8,0.8,0.892,3ois,Q9PGZ0
8,0.9,0.892,3ois,Q9PGZ0
8,1.0,0.476,3ois,Q9PGZ0
8,1.1,0.033,3ois,Q9PGZ0
8,1.2,0.0,3ois,Q9PGZ0
8,1.3,0.0,3ois,Q9PGZ0
8,1.4,0.0,3ois,Q9PGZ0
8,1.5,0.0,3ois,Q9PGZ0
9,0.1,0.855,3ois,Q9PGZ0
9,0.2,0.889,3ois,Q9PGZ0
9,0.3,0.889,3ois,Q9PGZ0
9,0.4,0.889,3ois,Q9PGZ0
9,0.5,0.889,3ois,Q9PGZ0
9,0.6,0.889,3ois,Q9PGZ0
9,0.7,0.889,3ois,Q9PGZ0
9,0.8,0.892,3ois,Q9PGZ0
9,0.9,0.892,3ois,Q9PGZ0
9,1.0,0.423,3ois,Q9PGZ0
9,1.1,0.0,3ois,Q9PGZ0
9,1.2,0.0,3ois,Q9PGZ0
9,1.3,0.0,3ois,Q9PGZ0
9,1.4,0.0,3ois,Q9PGZ0
9,1.5,0.0,3ois,Q9PGZ0
10,0.1,0.855,3ois,Q9PGZ0
10,0.2,0.855,3ois,Q9PGZ0
10,0.3,0.889,3ois,Q9PGZ0
10,0.4,0.889,3ois,Q9PGZ0
10,0.5,0.889,3ois,Q9PGZ0
