threshold,resolution,iou,identifier,uniprot_id
0,0.1,0.941,Q86IJ1,Q86IJ1
0,0.2,0.941,Q86IJ1,Q86IJ1
0,0.3,0.941,Q86IJ1,Q86IJ1
0,0.4,0.941,Q86IJ1,Q86IJ1
0,0.5,0.941,Q86IJ1,Q86IJ1
0,0.6,0.941,Q86IJ1,Q86IJ1
0,0.7,0.975,Q86IJ1,Q86IJ1
0,0.8,0.941,Q86IJ1,Q86IJ1
0,0.9,0.975,Q86IJ1,Q86IJ1
0,1.0,0.975,Q86IJ1,Q86IJ1
0,1.1,0.963,Q86IJ1,Q86IJ1
0,1.2,0.941,Q86IJ1,Q86IJ1
0,1.3,0.963,Q86IJ1,Q86IJ1
0,1.4,0.938,Q86IJ1,Q86IJ1
0,1.5,0.938,Q86IJ1,Q86IJ1
1,0.1,0.975,Q86IJ1,Q86IJ1
1,0.2,0.941,Q86IJ1,Q86IJ1
1,0.3,0.941,Q86IJ1,Q86IJ1
1,0.4,0.941,Q86IJ1,Q86IJ1
1,0.5,0.93,Q86IJ1,Q86IJ1
1,0.6,0.93,Q86IJ1,Q86IJ1
1,0.7,0.941,Q86IJ1,Q86IJ1
1,0.8,0.975,Q86IJ1,Q86IJ1
1,0.9,0.941,Q86IJ1,Q86IJ1
1,1.0,0.975,Q86IJ1,Q86IJ1
1,1.1,0.975,Q86IJ1,Q86IJ1
1,1.2,0.975,Q86IJ1,Q86IJ1
1,1.3,0.975,Q86IJ1,Q86IJ1
1,1.4,0.975,Q86IJ1,Q86IJ1
1,1.5,0.938,Q86IJ1,Q86IJ1
2,0.1,0.941,Q86IJ1,Q86IJ1
2,0.2,0.941,Q86IJ1,Q86IJ1
2,0.3,0.941,Q86IJ1,Q86IJ1
2,0.4,0.941,Q86IJ1,Q86IJ1
2,0.5,0.941,Q86IJ1,Q86IJ1
2,0.6,0.93,Q86IJ1,Q86IJ1
2,0.7,0.941,Q86IJ1,Q86IJ1
2,0.8,0.92,Q86IJ1,Q86IJ1
2,0.9,0.941,Q86IJ1,Q86IJ1
2,1.0,0.941,Q86IJ1,Q86IJ1
2,1.1,0.975,Q86IJ1,Q86IJ1
2,1.2,0.975,Q86IJ1,Q86IJ1
2,1.3,0.975,Q86IJ1,Q86IJ1
2,1.4,0.975,Q86IJ1,Q86IJ1
2,1.5,0.975,Q86IJ1,Q86IJ1
3,0.1,0.988,Q86IJ1,Q86IJ1
3,0.2,0.988,Q86IJ1,Q86IJ1
3,0.3,0.941,Q86IJ1,Q86IJ1
3,0.4,0.941,Q86IJ1,Q86IJ1
3,0.5,0.941,Q86IJ1,Q86IJ1
3,0.6,0.941,Q86IJ1,Q86IJ1
3,0.7,0.941,Q86IJ1,Q86IJ1
3,0.8,0.93,Q86IJ1,Q86IJ1
3,0.9,0.93,Q86IJ1,Q86IJ1
3,1.0,0.941,Q86IJ1,Q86IJ1
